entrytype,version,key,name,xpath,sort,important,xhtml
audio,1.0,uid,Project Archive UID,@id,6,TRUE,FALSE
audio,1.0,revision,Revision,@revision,7,TRUE,FALSE
audio,1.0,typeVersion,Bundle Type Version,@typeVersion,8,TRUE,FALSE
audio,1.0,nameCommon,Common Version Name,identification/name,1,TRUE,FALSE
audio,1.0,nameCommonLocal,Common Version Name Local,identification/nameLocal,999,FALSE,FALSE
audio,1.0,description,Description,identification/description,999,FALSE,FALSE
audio,1.0,dateCompleted,Completion Date,identification/dateCompleted,2,TRUE,FALSE
audio,1.0,bundleProducer,Bundle Producer,identification/bundleProducer,999,FALSE,FALSE
audio,1.0,agencyCreator,Creator Agency,agencies/creator,999,FALSE,FALSE
audio,1.0,agencyPublishing,Publishing Agency,agencies/publisher,999,FALSE,FALSE
audio,1.0,audioType,Audio Type,type/audioType,999,FALSE,FALSE
audio,1.0,rightsHolder,Rights Holder Name,contact/rightsHolder,3,TRUE,FALSE
audio,1.0,rightsHolderLocal,Rights Holder Name Local,contact/rightsHolderLocal,999,FALSE,FALSE
audio,1.0,rightsHolderAbbreviation,Rights Holder Abbreviation,contact/rightsHolderAbbreviation,999,FALSE,FALSE
audio,1.0,rightsHolderURL,Rights Holder URL,contact/rightsHolderURL,999,FALSE,FALSE
audio,1.0,rightsHolderFacebook,Rights Holder Facebook Page,contact/rightsHolderFacebook,999,FALSE,FALSE
audio,1.0,pubPromoVersionInfo,Promotion Version Info,promotion/promoVersionInfo,999,FALSE,TRUE
audio,1.0,archivist,Archivist,archiveStatus/archivistName,999,FALSE,FALSE
audio,1.0,dateArchived,Original Archive Date,archiveStatus/dateArchived,999,FALSE,FALSE
audio,1.0,dateUpdated,Last Archive Date,archiveStatus/dateUpdated,4,TRUE,FALSE
audio,1.0,comments,Comments,archiveStatus/comments,5,TRUE,FALSE
audio,1.0,copyrightStatement,Rights Information Statement,copyright/statement,999,FALSE,TRUE
audio,1.0,languageLDMLId,Unicode LDML Languae ID,language/ldml,999,FALSE,FALSE
